product_id,quantity,wholesale_cost,sale_price,supplier_id
DYQ611TZ2TQQ,914,40.79,51.4,DPQPFFUJ
NWKAJAHJVIY1,4765,443.03,509.93,JBHXSXVL
TJSTU3MBPBQ7,5169,403.42,641.44,PCURFMJI
7ZPGCAODJLNY,4933,415.55,651.58,YPVJCYBG
MLR965TFJFW0,601,40.79,57.31,VEAMUMSU
C97ETRYR3CE5,2727,105.03,128.03,UGAGQMRP
9K41JO65XH4W,5230,472.66,736.4,LXJSUYYL
6X790RK6X17V,150,10.54,19.6,CGTJWKRL
6SJDFNY16P61,3943,383.54,566.11,VRXUFGWV
UE1KUH3OWG73,212,10.24,16.37,HMXHTYNN
Q1MGSP2FUP7R,2898,95.23,162.75,EZHEWEYV
S9AAKN0RKK5O,3964,414.2,485.44,FIOEEZUX
G1LYZQ2482TQ,3757,455.63,758.17,HMXHTYNN
VW0PVNWC8UO2,220,7.47,9.91,OLSPXPHG
9OVFYJY8QJWB,2325,121.7,155.41,GJTIPEDR
LPLD8OP2XGK8,1227,126.65,166.8,IQDFAHFW
TR32UMYO2O9I,2070,126.65,207.96,HMXHTYNN
LO8X4TAQO0TQ,2295,137.65,244.05,JBHXSXVL
HFW7PWRDJJX6,5947,374.4,649.96,CGTJWKRL
Y59DZLKT0LYK,1599,124.17,144.78,UGAGQMRP
7UMERZ2WANKZ,3792,425.09,698.85,NOLWHEOG
UT0RNFP2X62T,4994,384.85,521.86,QPKTYNBA
OZC3S5YWDBA2,2046,135.08,189.11,NOLWHEOG
DZT5WQAQYH98,2584,113.64,178.3,JFAIEGHL
VN0GWE731XDK,5771,462.7,572.82,DPQPFFUJ
LCGSU0Y0G8UA,3662,330.08,419.53,EFSXKIVQ
VGLMKUWC0700,5732,342.51,548.7,FZGMWEVU
REPFL14J6ORT,712,41.84,72.38,VRXUFGWV
5GFQYL924B2J,3549,375.7,517.71,MPIEMZUH
JPSVHCLSWI7O,12,0.59,1.09,TDFIGLMG
NDFSQTON3I05,4566,416.91,479.03,LXJSUYYL
PR9891EB7JI6,798,37.71,65.28,JBHXSXVL
9AO2N8WUHP0B,1622,114.44,191.34,BNHBRPJN
PXINC4BP066J,4529,431.95,757.64,VVTOXNZH
KBYSQ9PUH87O,479,39.24,55.84,VVTOXNZH
SLC4PXTTJFMY,552,47.24,69.68,UGAGQMRP
DPXOJ7EBOBE7,3488,384.85,710.43,VRXUFGWV
YNVF4TAF4SQA,3381,384.85,434.88,DPQPFFUJ
UFQPRZ8WR4C6,2289,112.05,144.32,LAVNPRVJ
BFLBGIBVV7OH,2060,120.07,217.93,FUFPJFER
QI50Y2PBIM66,3187,382.22,700.23,VVTOXNZH
D2LD7YFS3PX5,221,10.84,15.11,HEZQXZKD
TC1FUY2LA1UD,6044,384.85,565.73,DCVLDSJO
0VY7A6Z4JMW9,3765,410.14,576.25,OGUIXVOU
66JINCPK6JY8,4463,410.14,775.16,AIDKPTTB
7CN0R3OMD9R5,5619,415.55,491.6,NOLWHEOG
ZN8T8GHIULZF,1257,135.08,177.9,DCVLDSJO
62KGW4V1JP6Q,6108,395.42,709.78,HMXHTYNN
MBFO8OIB9VV5,4101,426.46,628.6,IQDFAHFW
ISMWIHMU11RA,3406,402.08,593.07,EFSXKIVQ
QQHMGEJJ836J,3934,369.22,496.23,VEAMUMSU
MVSNWNFRBHPJ,3090,392.76,573.04,YJLIZBRT
M3D29CQ153PG,1479,127.48,146.86,HEZCBKOM
X4PB9TZ75H4U,5412,427.83,642.6,HZOWCOWU
K17Z5MKWK7H1,5698,370.51,665.44,HEZQXZKD
G6JU6G8U64U1,3398,399.41,750.49,LXJSUYYL
7JPJFZ4Y5K3J,4764,375.7,697.3,SWAGDTTZ
YCVVGRNRPYMP,2081,124.99,151.24,KUAOQMJO
6E6ACWX5KNXW,799,50.04,94.78,VRXUFGWV
PACM5DYCY16T,4864,379.61,639.26,QMRKWBLO
AQBPS40X78I9,5531,395.42,625.16,UHKLZZRH
M2I7FKQ3JMRP,4288,388.8,721.22,KUAOQMJO
V2AOES0RJIY3,999,35.22,48.43,SFDXZGIB
FVL5MRVG1QSI,3469,391.44,508.87,DCVLDSJO
K9MLAO1DLI8A,1094,48.92,89.77,SWAGDTTZ
VEKP5ZJ58NZ7,4347,402.08,455.15,JICAIEGK
FZUUBETDWATH,5416,434.71,661.63,YJLIZBRT
P98LOIAB604P,3486,426.46,556.53,QRXHXBWR
QPUEQKTAPLXG,3033,358.94,509.34,JFAIEGHL
54A2KI0KCFT3,5854,386.16,598.55,IZENTRLB
5TOMABXO4B1N,1575,121.7,228.67,MMJOLQDJ
9QXK2PTCTNRA,4685,440.25,567.48,RHKGMTGJ
21GQIFCSR6Q3,4771,454.23,606.85,HXTZQIRO
SS46AX7YAYDK,5454,378.3,630.25,TDFIGLMG
QBILT24XUYB8,5280,430.58,537.36,NUYECSQQ
4PLHF4RSM2YI,4675,426.46,704.51,YPVJCYBG
Y31ECJN72QDG,25,1.36,1.55,LAVNPRVJ
TBEM2L0KTHRM,1565,105.03,197.14,RSXLERYX
1EK4W1KMOCXH,3562,411.49,467.86,RHWMJMNM
WR3Q9QBQR9AK,2928,117.64,199.16,QRXHXBWR
I7RYS1K48FU3,1504,141.11,256.68,ENJXLXOS
44GOZU75Z8E4,5886,365.35,623.65,IQDFAHFW
VR3WAIU6JJIW,6147,392.76,487.02,VVTOXNZH
91YR8B7PNR1G,3926,414.2,513.19,DCVLDSJO
RF9H44BDXKBE,1209,106.58,177.56,PCURFMJI
F7RE53CSD7GT,5515,418.27,782.58,EZHEWEYV
BKXET6ME3XVM,2173,132.53,153.2,YPVJCYBG
W8C3ZCSJ2SBX,1000,29.54,42.69,DPQPFFUJ
QEEID0DKV6B0,2771,116.84,151.89,RHWMJMNM
DMV0JN6KSX0O,2621,119.26,148.84,TDFIGLMG
WWD3CWT06KGL,5718,378.3,575.77,SUQVUMHJ
SL97EW2504PO,183,7.47,13.83,TDFIGLMG
ZJUOAUZ9FDZN,2042,116.84,209.49,TDFIGLMG
O1FZ13ECHIAA,486,45.59,72.94,SWAGDTTZ
RC810LM470QK,4297,400.75,559.05,MHZCMLCZ
PZWGP2LG3C87,4103,430.58,657.93,UGAGQMRP
1QSS92RAGY18,3334,431.95,543.83,HMXHTYNN
NUK67DICSUEV,4563,415.55,677.76,UHKLZZRH
R2L9YI7SK0IQ,318,10.84,19.92,RSXLERYX
IGYNO25HBVEF,1811,101.97,155.3,KUAOQMJO
37W9G9YXFJIB,65,2.22,2.97,HMXHTYNN
I707TI4BNR2R,1089,29.08,32.6,GIKJGYMU
CTKOBOTK21KZ,5890,388.8,491.05,GIKJGYMU
AC4XA12D8JT9,3317,399.41,523.23,LAVNPRVJ
1DCHHRVWX8NN,5855,379.61,544.36,HZOWCOWU
FKDRGJJ7THT7,3442,427.83,720.89,SFDXZGIB
14BJU0JAOUEE,1262,117.64,146.93,NOLWHEOG
W3ZPAXLU8717,2865,124.99,210.86,YJLIZBRT
84PU347UIAZD,1972,132.53,250.88,UGAGQMRP
85X3056YVR5M,4919,414.2,560.41,HXTZQIRO
YFV87HGYL1OX,931,47.24,68.17,VEAMUMSU
S4MLPZFVFB5Q,1642,157.11,198.43,NOLWHEOG
Z2UQNTE04EML,6039,387.48,644.38,VRXUFGWV
DKFHCFEIKULZ,3716,383.54,699.58,SUQVUMHJ
M9M9ZMIUINII,2500,103.5,149.45,DUVFBUSM
R1E24ID5ONQ7,576,38.22,65.28,LXJSUYYL
2S9VVO0SSBNG,2426,110.48,132.58,DUVFBUSM
L72UTSWVH8BY,5575,399.41,627.07,SWAGDTTZ
RTRICUZ179P4,6132,427.83,489.44,QMRKWBLO
QPST78FD1LQN,4526,431.95,491.13,HEZCBKOM
T9T7W5YWGOKM,47,0.68,1.16,IQDFAHFW
NFX89AQOGAT7,828,45.59,82.97,FIOEEZUX
7XAA8M86UYPV,756,36.71,66.33,JFAIEGHL
S2VJ4MHSXG0K,2769,137.65,219.14,VVTOXNZH
6SMAZTCLG4IX,4831,379.61,452.5,TDFIGLMG
70SPX5DA819X,4095,419.63,596.29,PCURFMJI
X0JQKW1CWGRI,5000,377.0,592.27,IQDFAHFW
LZGCYM60T2SZ,577,45.59,72.94,JICAIEGK
Z38Z4A3ZCO0T,2101,118.45,213.57,DPQPFFUJ
OWLNK7CZSLAE,3579,410.14,593.47,HZOWCOWU
P1K93822U7QQ,1228,141.11,175.82,QMRKWBLO
5ITO5N4DU7ZN,5719,426.46,764.22,YPVJCYBG
C5T3N4AIJZDA,5073,404.76,653.69,PCURFMJI
MXL3SQZC8CTH,3842,400.75,571.47,RHKGMTGJ
OMX7ANJ3VI16,6089,396.75,495.94,HZOWCOWU
331ELNQFX6LG,5473,422.35,577.35,FZGMWEVU
M0C1P99F1V91,5010,386.16,618.63,QRXHXBWR
7PTHAHHX607J,3401,348.79,593.99,SJQRBKVK
56625U4U9E1F,1378,116.84,149.79,AIDKPTTB
X4CI1LROLB73,410,37.71,69.5,BQYGGCMA
DFYPRFTR86CV,4724,364.07,621.83,HEZCBKOM
ZSHF7FW560GP,312,16.83,24.12,NOLWHEOG
5AAXO4GNKSW2,2875,112.05,176.59,KRISHNOD
A5R5AWISHRZ1,2794,132.53,186.87,VRXUFGWV
HBQRR89YTI6I,832,35.22,39.55,HEZQXZKD
B5A1YV9I5UWA,4504,391.44,527.27,FZGMWEVU
PTJ0BKXD2JJ1,2108,137.65,208.54,HEZCBKOM
31IV6904UQVB,5739,406.1,626.21,KRISHNOD
UYMVALPW2I8K,2323,108.91,177.52,SJQRBKVK
NVMVBCVHZHLS,5582,400.75,483.3,HEZQXZKD
GARVA4N3WI3P,5351,415.55,657.82,MHZCMLCZ
GEH2VJEV8A73,1909,103.5,116.95,DUVFBUSM
15DBG9WJZ2X5,5792,451.42,565.63,QRXHXBWR
8UYJ17VUAPTD,5961,402.08,616.79,HZOWCOWU
5WW6EXTYIUFO,5637,426.46,637.56,GJTIPEDR
J95VN7W1KTZA,4298,431.95,577.09,IZENTRLB
TPQH5P9QD4KK,3872,419.63,676.86,FUFPJFER
VSHJ2MGB98HY,4050,427.83,550.19,LXJSUYYL
Q9SFTCIMOMG4,4378,415.55,526.92,HMXHTYNN
0RRASNHFMMNF,522,39.75,62.13,YJLIZBRT
V6MZ5WNI2B4X,627,37.71,67.88,DCVLDSJO
Z8C3NUZMRL25,4706,353.85,427.1,MHZCMLCZ
ZJF5J4O41CZD,5330,440.25,770.88,FZGMWEVU
XC44VN0IZJ33,4165,366.64,655.19,EZHEWEYV
V4K66S54PBS4,5050,411.49,536.17,LXJSUYYL
D7362LZLRJGZ,192,9.09,13.65,OGUIXVOU
XJCXQ9GLIGAJ,1706,123.34,182.67,DCVLDSJO
WDJZ14U3A10O,5605,396.75,634.01,OLSPXPHG
WZQP05B7CXMR,3738,391.44,513.18,LXJSUYYL
QTOZP5IOA4AG,1391,122.52,203.38,LAVNPRVJ
MAH1T37S6KIE,1751,139.37,195.95,NUYECSQQ
SICU8VKTFZAB,2134,122.52,169.57,JBHXSXVL
PPSXMROEQ8U0,5094,416.91,785.04,VRXUFGWV
USWWXJ7G0P0V,3565,414.2,624.61,IZENTRLB
YHT1ER70IM0L,1531,129.99,219.03,IQDFAHFW
DSNMH5O8AU2C,3432,445.82,735.6,IZENTRLB
PWQ92KPAP46D,3506,348.79,435.29,PCURFMJI
AG6VLXLC9I5R,2496,123.34,162.44,JFAIEGHL
MDBBRCFPHPJR,5937,427.83,586.13,EZHEWEYV
EYOZMR0WB6CK,2985,429.2,512.46,SWAGDTTZ
ZRB1N6B9TPUF,592,40.79,62.94,YJLIZBRT
4RKR3PI3C7C0,4560,412.84,560.22,UHKLZZRH
XNF8CLCW65N6,713,32.33,56.74,HMXHTYNN
YVUZPJGVTGOV,2657,123.34,222.63,EFSXKIVQ
7Q21P6RLIIF9,5914,414.2,654.44,HXTZQIRO
P95WXEPMFJA7,1035,35.22,54.1,HEZQXZKD
Z62WWNCC9A6M,118,4.01,5.99,QMRKWBLO
KWQ68JLS136C,4439,371.8,639.12,MPIEMZUH
89OTZ55MLF9R,314,14.71,17.18,VRXUFGWV
KX3BK8M86WTB,5498,402.08,761.54,UHKLZZRH
FCFAREQHZ6VU,4200,487.05,635.11,OLSPXPHG
OVB2EGC6F0IV,1633,104.27,125.85,MPIEMZUH
9ZL6JJXU2OKG,1453,124.17,179.8,EFSXKIVQ
I52NLT6K2ENY,2435,108.91,177.85,HEZCBKOM
X60ZXLS78SCT,5340,399.41,522.83,AIDKPTTB
NNIE4XIK79S4,1282,120.89,153.77,HZOWCOWU
2ZE5W4IBEGS1,1366,138.51,202.92,KUAOQMJO
PM1I64769NRJ,2175,116.84,177.71,NUYECSQQ
KZTAA7N2JFZ7,3287,373.1,580.54,QPKTYNBA
ZQ8QU18XGWGM,4087,431.95,598.68,BQYGGCMA
HBYCV49Z8J54,3307,388.8,553.65,BNHBRPJN
KOAIYICSNBGE,3428,400.75,530.99,PCURFMJI
X3BYV5WOSC2Z,1003,42.9,75.03,KUAOQMJO
SP8HBSHG7POS,3522,360.22,555.46,LAVNPRVJ
VVEWQGCUA1FM,3079,375.7,435.06,TDFIGLMG
SVEOVMYMYKKA,533,27.73,37.46,OGUIXVOU
XGLJ5NXYCAG5,903,29.08,44.32,CGTJWKRL
LPFPVU0ZJCC8,193,11.14,15.93,SUQVUMHJ
S3R4CB3ES52W,674,29.08,45.98,GJTIPEDR
Y4UVJKFE2847,4495,398.08,613.84,UHKLZZRH
IHB3S0BKKE0P,4718,350.05,657.04,BQYGGCMA
CIDZ8WMBT3JL,3521,404.76,535.5,NUYECSQQ
ENKPD9IB6RV5,4914,431.95,714.45,LAVNPRVJ
K5KV5YYKUM0X,5968,361.5,440.67,RHWMJMNM
39ICAVWNB568,4632,402.08,472.44,HEZCBKOM
F3TKJ5HUOIBJ,2537,149.02,277.48,OGUIXVOU
06C3RX1MI10J,5198,425.09,651.66,PCURFMJI
B444W31J4BJK,5596,408.79,769.75,AIDKPTTB
5YWAPLLTDHEL,4027,441.64,744.16,DCVLDSJO
D9RAQ59O828M,3815,434.71,544.69,PCURFMJI
C67TTQN4JREC,535,41.84,62.55,OGUIXVOU
CICJCBCWXC4U,2997,420.99,694.21,RHWMJMNM
ZVCSLQKKUTRE,3353,437.48,681.59,FZGMWEVU
XF82R8FVCIRW,2135,120.07,216.61,QPKTYNBA
VIDO4OATBNHV,4933,382.22,497.27,XTRLJUWO
NQ02W3IQ9A5V,45,0.68,0.75,QMRKWBLO
P5PCDIS7LOXN,1291,116.84,149.79,ENJXLXOS
XTMI29FAXM1S,1756,132.53,161.82,RHWMJMNM
X3W8916KILGG,517,35.71,49.46,XTRLJUWO
96LGSOFRFCAN,3821,420.99,533.39,FIOEEZUX
A6SEF9ILHTTC,5452,403.42,653.54,BQYGGCMA
G7NNRRXZPJBE,6104,416.91,773.37,HEZCBKOM
U5JLG3D8UL00,1849,118.45,220.91,LXJSUYYL
8I4YGIHTFSWB,4634,420.99,473.19,UHKLZZRH
BNH4ZCX18D12,1279,120.89,174.81,VEAMUMSU
3ZRUKLVAU80U,3044,377.0,576.06,HZOWCOWU
QYJXC2OAPCGQ,3658,371.8,516.8,FZGMWEVU
I28E594LIBTU,4572,466.96,776.55,UHKLZZRH
DYMZV3TGRF3Q,4199,416.91,528.64,XTRLJUWO
H8TLM1XNESOW,6085,448.62,681.45,MMJOLQDJ
C3AKMV6ISEBC,177,16.11,26.1,YJLIZBRT
R1JH60NFXJF6,4841,360.22,495.66,FIOEEZUX
X0BFXU2FRUFB,3172,422.35,757.7,IZENTRLB
TDAEKXVPCEEX,3063,425.09,737.96,RSXLERYX
AYJLBOVSJ4SA,607,42.9,73.06,KRISHNOD
TA9GEL1QESGX,5647,447.22,676.64,QRXHXBWR
EONXM5Y84ICC,3200,380.92,664.71,EFSXKIVQ
2IJ1798LFT8L,5788,384.85,477.6,HMXHTYNN
59VFW7MIJ1OI,1091,33.76,57.59,QMRKWBLO
B2KST0NYC0WB,2821,101.97,124.1,JFAIEGHL
93IVNH5KYHT7,453,45.05,62.08,GIKJGYMU
5USHW7L9FI8X,5691,394.09,550.94,QMRKWBLO
7F74CT2QMTRH,1208,138.51,166.9,TDFIGLMG
SKT085SLDPJ0,3014,422.35,767.41,TDFIGLMG
4K2H0MC1F49N,1742,100.46,113.92,KRISHNOD
FC7GS3MORHQM,5337,378.3,453.58,JICAIEGK
43I4OHB8W7ZY,757,32.8,46.74,EFSXKIVQ
3YBSHLSU5BB7,1076,40.79,69.87,AIDKPTTB
FQ0QINO76P63,4115,382.22,579.06,PCURFMJI
0XQD5JGECD0M,271,12.39,14.3,HEZQXZKD
IJKMB15MTCVG,1086,45.05,85.01,GJTIPEDR
QZD9GOL1GQDP,631,28.63,35.3,VVTOXNZH
3OTB5YNKFBAQ,4592,369.22,549.03,SWAGDTTZ
2XEP8YR0D4EA,5131,433.33,786.06,XTRLJUWO
HN4Z3HOBHSFR,5757,380.92,589.66,VVTOXNZH
K9J04L3B7FO2,5893,391.44,659.18,HEZCBKOM
M8H1J4NIZQIN,4595,355.12,429.34,HMXHTYNN
LIBMVXYBRAO6,1637,108.91,200.94,NOLWHEOG
LXD6VMTP13U7,4251,343.76,520.11,TDFIGLMG
DUR7TEHYHWZV,3778,382.22,543.9,FZGMWEVU
D3915AQGZW80,2363,133.37,229.13,IQDFAHFW
KXNDJPP08RO8,5733,370.51,414.97,KRISHNOD
71NPAWH07E0G,2524,133.37,179.52,BQYGGCMA
AY7HTQB99NV3,3613,411.49,483.91,VVTOXNZH
SG2TS56XIUX5,4982,399.41,678.6,PCURFMJI
ODBQFMJDY5ID,4009,440.25,531.82,HMXHTYNN
EV694L0BMUWP,3253,408.79,714.97,GJTIPEDR
U329JH96Y88C,1690,116.04,192.97,FZGMWEVU
6RI2CDWY5SKP,3326,475.53,541.15,EFSXKIVQ
HKL4N011SE9S,478,46.14,69.81,XTRLJUWO
9OQT86SCXPH4,5064,369.22,409.83,CGTJWKRL
8ECFNGGJBBCX,401,8.81,12.2,HZOWCOWU
ZML90PRVXZFL,6085,396.75,461.82,PCURFMJI
CF11A9PA57EG,333,15.75,26.76,NOLWHEOG
OXH51G5KS6JL,4903,399.41,671.41,UHKLZZRH
HD8AWX7LIP3P,2827,135.93,243.86,AIDKPTTB
ZOHXE7KBVFVG,5677,437.48,643.97,JBHXSXVL
8JNL74O4BEGE,1917,119.26,196.9,XTRLJUWO
93LN6AA98RAB,1339,124.99,202.23,CGTJWKRL
14NRMXKR85YI,1273,120.89,174.44,ENJXLXOS
PTX2WMK7F991,833,37.71,59.77,JBHXSXVL
70BDJ381F0PM,434,36.21,55.62,SUQVUMHJ
RDXNMPJK19R6,489,43.97,80.16,HMXHTYNN
FVZGSK1IJ48Z,2334,98.2,133.75,OGUIXVOU
6YW5WM8HXM91,5020,400.75,742.59,KRISHNOD
2LGAWM816T67,976,41.84,58.2,KUAOQMJO
ZYJUAIAN5OCB,1278,112.05,137.6,DUVFBUSM
98NYKJXW4KRL,3047,411.49,640.28,QMRKWBLO
IX50MPFOD6AN,6071,412.84,721.64,GJTIPEDR
2VJGAIJSETQ2,2420,113.64,207.05,DCVLDSJO
BUXSM8CHINXN,4663,411.49,473.62,VVTOXNZH
3V5W671DX5TZ,4836,429.2,748.95,RHWMJMNM
45XQR3DA8LXX,4170,386.16,656.09,VEAMUMSU
41USIXHGNWID,3282,375.7,416.28,UHKLZZRH
PXEOLHCB2UC3,1871,121.7,144.58,JBHXSXVL
1LKMIAKGTSLE,1450,98.2,133.75,MHZCMLCZ
LY4UUG0K7AXO,1531,128.32,185.81,FUFPJFER
TQ740BU2W4FY,825,40.27,48.57,XTRLJUWO
536BGNVZH8SK,4771,434.71,609.03,UHKLZZRH
9VPMCZV9EXIT,5086,375.7,612.77,QPKTYNBA
RZ9YQ08L7ECY,1678,128.32,183.75,LAVNPRVJ
ZA3L9ZRKD034,3775,437.48,518.41,GJTIPEDR
R21XD155J6RD,4083,370.51,656.17,AIDKPTTB
UHE1PA8XKD7W,2254,101.21,159.2,IQDFAHFW
VVKD7FSP6266,208,11.45,15.84,YPVJCYBG
E65BAGNCK5Y0,81,5.29,6.16,PCURFMJI
YPXTLJO3G0IA,3325,466.96,668.22,GJTIPEDR
NS3FA8B797V4,5218,402.08,748.27,RSXLERYX
JL0D77YPUXX6,3499,390.12,644.87,MMJOLQDJ
4UGKA5M8ZQV9,3669,384.85,652.71,MMJOLQDJ
MPINEPKFGB53,1043,46.69,73.4,IQDFAHFW
UI6TBBKPB3LC,2535,148.13,275.67,FUFPJFER
K3F2G4CMFJAC,1010,48.35,83.21,JFAIEGHL
PBXVVYTVXW0Q,839,38.73,44.69,XTRLJUWO
O3NXZCHM7YPG,3266,379.61,680.64,GIKJGYMU
R7PACBEDUD0M,584,46.69,66.53,JICAIEGK
7LK1IU13I5MG,2703,120.89,149.54,FIOEEZUX
X4A35KQFTEPQ,1923,124.99,167.99,VVTOXNZH
1M4O85RHDYBH,6106,415.55,684.83,FIOEEZUX
D9NINPKP5QYP,3810,427.83,713.62,BNHBRPJN
HGV3SIR5FWCE,4207,434.71,741.18,HEZCBKOM
D29W1G9ATBP8,3430,411.49,752.62,GJTIPEDR
FGK0VO693CRM,5057,373.1,502.57,FUFPJFER
WPDQ8CB5OW43,5056,410.14,714.05,LAVNPRVJ
R6WULGR8JZPB,4119,402.08,666.65,JBHXSXVL
L2V2JZ73R83Y,1463,122.52,226.78,DUVFBUSM
UD4TKKHFM1H5,1654,122.52,145.06,LAVNPRVJ
ZU4IG3W04J5J,3274,400.75,617.96,VRXUFGWV
THQZR67NAZ97,5091,447.22,555.0,SFDXZGIB
27VE9DX9AH51,5613,384.85,658.09,VVTOXNZH
PX9SPQPCEOC5,4454,425.09,522.86,HXTZQIRO
TJTP1VQMFGZF,1731,121.7,184.5,SJQRBKVK
Z63HKO8Z3DUA,438,26.85,39.63,AIDKPTTB
7SVCIFX3J9E5,1519,101.97,144.7,MHZCMLCZ
LK125EQ3NWL4,1593,154.39,230.66,AIDKPTTB
OT8FF2XOX98M,2200,107.35,191.83,RHKGMTGJ
RF3DJ15P7VHO,246,12.39,20.59,JICAIEGK
B8A4UVYZZEA8,3055,410.14,729.64,OGUIXVOU
AVB8S6A0YGCE,5873,406.1,535.24,JFAIEGHL
R8LOLK9BLFT4,3320,420.99,674.0,RSXLERYX
1WZLSH522P8L,2402,122.52,168.1,VRXUFGWV
H5Z15VTH4J1R,5342,373.1,439.14,JBHXSXVL
SVHXA9G0E1XJ,6107,429.2,548.09,SUQVUMHJ
BUDFVRW196YF,4801,431.95,742.95,SJQRBKVK
MQTW5ZZFB6GG,3618,412.84,581.69,IZENTRLB
NE5TJIVN33V6,3174,418.27,502.34,DCVLDSJO
JG5ADZBSO4FT,3048,418.27,694.33,IQDFAHFW
GHEYFVO0713B,547,38.73,62.59,RHWMJMNM
NG6VC2M802XW,3600,378.3,579.93,DCVLDSJO
J7S8IWTMY201,185,19.82,22.36,EFSXKIVQ
KUO8A3PLRADO,502,35.71,47.85,IQDFAHFW
R6GDOA6GXQIA,3896,410.14,587.32,KUAOQMJO
130PMC8U2NXV,1871,130.84,148.9,JICAIEGK
XJLCP58F8YOC,556,32.8,56.61,HXTZQIRO
5QNGRSEBDLQQ,2848,130.84,158.05,BQYGGCMA
80NUKQ4IDAM9,5098,418.27,722.77,LXJSUYYL
46TKCRNT0P5E,542,31.86,37.18,HMXHTYNN
AZPRDL2SG1AG,4686,423.72,636.43,BNHBRPJN
69AQCALLRU1F,5235,404.76,686.47,HEZQXZKD
9E95EGM9KUQQ,1889,118.45,199.83,UHKLZZRH
PYEHNBQE0VIC,695,49.48,75.31,SUQVUMHJ
ZES1EHQL1QDB,358,8.81,14.66,FUFPJFER
V3W6QIICHOUW,3509,395.42,606.18,JFAIEGHL
5JQJMKOUSILO,2459,129.16,150.08,VVTOXNZH
9QDLFH0YOD97,5098,457.04,827.24,FZGMWEVU
PDB95H86VAFA,429,44.51,50.39,JBHXSXVL
YPGP4TRH0DJC,307,12.08,22.05,YJLIZBRT
I6X291E8BTSU,6047,380.92,705.84,DCVLDSJO
YFPVC1LHQFMG,2489,109.69,188.78,FZGMWEVU
2LWAVHRPP7ZD,1061,28.63,51.85,IZENTRLB
24VJQ234AFZ7,720,32.8,54.48,HEZCBKOM
597X2KBYP7HL,2004,144.6,219.21,MMJOLQDJ
J8IOBWL3J1PG,1176,150.8,200.71,IQDFAHFW
TWM0LGOPG2ET,1532,134.22,203.75,HEZCBKOM
XYCVS2HKSMW4,2891,124.99,164.36,FUFPJFER
MHLXLZKUR1IF,3073,360.22,566.27,QPKTYNBA
SXJ0MGE2GB2J,1945,136.79,173.04,VVTOXNZH
BOF0QAY97IIM,4091,406.1,620.93,TDFIGLMG
PKCA0ASTMCAB,1884,131.68,182.38,CGTJWKRL
WZOB262ETNUI,5062,347.53,592.19,JICAIEGK
K45GRW2P7FYZ,5840,390.12,464.24,DUVFBUSM
JMTCDTXUXTFX,1988,127.48,218.12,UGAGQMRP
